title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80,Crime dramaComedy-dramaPolice procedural,14+
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80,"Police procedural, Legal drama, Thriller, Mystery",14+
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80,"Action, Drama, Police procedural",14+
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80,,14+
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,Medical drama,14+
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80,"Soap opera, Psychological thriller, Mystery, Serial drama Soundtrack",no restriction
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,"Political thriller, Political drama",14+
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80,"drama,comedy",no restriction
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80,drama,13+
Home,PG,mild action and some rude humor,60,2015,94.0,80,Comedy,no restriction
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80,Reality competition,14+
Felipe Neto: My Life Makes No Sense,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80,"Adventure, Mystery, Serial drama, Science fiction, Supernatural fiction",14+
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80,Black comedyComedy-dramaSatire,17+
The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,,82,Historical drama,17+
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80,Crime drama Police procedural,14+
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80,"Drama, Fantasy, Supernatural fiction",no restriction
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,Police proceduralDrama,no restriction
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80,Political dramaPolitical thriller,17+
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80,"Serial drama, Crime drama, Mystery",14+
Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82,drama,no restriction
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,"Crime drama, Action, Thriller, Mystery",14+
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80,Family dramaTeen drama,14+
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82,Supernatural dramaFantasyComedy-drama,14+
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80,"Drama, Fantasy, Horror",17+
London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80,"action,mystery,thriller",no restriction
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80,"Detective, Neo-noir, Psychological thriller, Superhero, Crime drama",17+
Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,ThrillerDrama,17+
Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Drama,14+
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80,Historical drama,17+
Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82,"Period drama, Romance",14+
The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,"horror,crime,mystery,thriller,drama",14+
